"word","count","freqRatio"
"高",2105,0.0539798953738845
"並",2099,0.0538260334393271
"一次",2097,0.053774746127808
"之前",2066,0.0529797927992615
"各種",2065,0.0529541491435019
"地",2056,0.0527233562416658
"誰",2018,0.0517488973228023
"當時",2012,0.0515950353882449
"那些",2007,0.0514668171094471
"有人",2002,0.0513385988306493
"特別",1983,0.0508513693712176
"來說",1981,0.0508000820596984
"前",1970,0.0505180018463432
"重要",1954,0.0501077033541902
"年",1952,0.050056416042671
"以後",1938,0.0496974048620371
"所有",1916,0.0491332444353267
"它",1914,0.0490819571238076
"非常",1913,0.049056313468048
"個人",1897,0.048646014975895
"其他",1887,0.0483895784182993
"希望",1879,0.0481844291722228
"只能",1870,0.0479536362703867
"工作",1855,0.0475689814339932
"幾個",1847,0.0473638321879167
